brand_name,year,month,units,gms,date,month_name,fuel_type
Simple Energy,2026,2,10,1706609.5,2026-02-01,Feb 2026,EV
Triumph,2026,3,441,106410423.8,2026-03-01,Mar 2026,ICE
Triumph,2025,8,304,73815881.48,2025-08-01,Aug 2025,ICE
Triumph,2025,12,261,60730293.56,2025-12-01,Dec 2025,ICE
Triumph,2026,4,72,17370887.8,2026-04-01,Apr 2026,ICE
Triumph,2025,7,225,54577559.0,2025-07-01,Jul 2025,ICE
Triumph,2025,10,315,73126639.3,2025-10-01,Oct 2025,ICE
Triumph,2025,6,101,24258613.0,2025-06-01,Jun 2025,ICE
Triumph,2025,5,167,41342837.0,2025-05-01,May 2025,ICE
Triumph,2026,1,250,60213063.4,2026-01-01,Jan 2026,ICE
Triumph,2026,2,294,70854783.94,2026-02-01,Feb 2026,ICE
Triumph,2025,11,187,43693836.44,2025-11-01,Nov 2025,ICE
Ather,2025,10,2113,285106659.35,2025-10-01,Oct 2025,EV
Ather,2026,2,224,32537816.0,2026-02-01,Feb 2026,EV
Avenger,2025,9,138,16045004.28,2025-09-01,Sep 2025,ICE
Avenger,2024,12,10,1220006.4,2024-12-01,Dec 2024,ICE
Avenger,2025,11,24,2869522.8,2025-11-01,Nov 2025,ICE
Avenger,2025,4,10,1245836.4,2025-04-01,Apr 2025,ICE
Avenger,2025,5,12,1474860.32,2025-05-01,May 2025,ICE
Hero Motocorp,2025,11,596,50786261.26,2025-11-01,Nov 2025,ICE
Hero Motocorp,2026,1,1395,110446608.96,2026-01-01,Jan 2026,ICE
Hero Motocorp,2025,5,503,43451973.26,2025-05-01,May 2025,ICE
Hero Motocorp,2025,7,668,57615189.04,2025-07-01,Jul 2025,ICE
Hero Motocorp,2025,1,673,52868584.0,2025-01-01,Jan 2025,ICE
Hero Motocorp,2024,12,368,29146279.0,2024-12-01,Dec 2024,ICE
Hero Motocorp,2024,9,654,60989302.0,2024-09-01,Sep 2024,ICE
Harley-Davidson X,2026,3,77,20707700.0,2026-03-01,Mar 2026,ICE
Harley-Davidson X,2025,12,22,5433000.0,2025-12-01,Dec 2025,ICE
Harley-Davidson X,2026,2,22,5841800.0,2026-02-01,Feb 2026,ICE
Hero Motocorp,2024,10,3862,342703356.23,2024-10-01,Oct 2024,ICE
Hero Motocorp,2025,12,870,71577293.46,2025-12-01,Dec 2025,ICE
Hero Motocorp,2025,3,623,54461887.66,2025-03-01,Mar 2025,ICE
Hero Motocorp,2025,9,3933,313831709.76,2025-09-01,Sep 2025,ICE
Hero Motocorp,2025,6,277,24437826.0,2025-06-01,Jun 2025,ICE
Hero Motocorp,2024,7,16,1451539.0,2024-07-01,Jul 2024,ICE
Harley-Davidson X,2025,10,101,27689500.0,2025-10-01,Oct 2025,ICE
Harley-Davidson X,2025,11,13,3553500.0,2025-11-01,Nov 2025,ICE
Hero Motocorp,2025,8,867,75112847.88,2025-08-01,Aug 2025,ICE
Hero Motocorp,2025,10,4777,377446839.35,2025-10-01,Oct 2025,ICE
Hero Motocorp,2024,8,218,19861959.0,2024-08-01,Aug 2024,ICE
Hero Motocorp,2026,2,457,35173437.77,2026-02-01,Feb 2026,ICE
Hero Motocorp,2025,2,299,24997168.0,2025-02-01,Feb 2025,ICE
Hero Motocorp,2026,4,348,28609221.32,2026-04-01,Apr 2026,ICE
Hero Motocorp,2025,4,358,31967209.72,2025-04-01,Apr 2025,ICE
Hero Motocorp,2024,11,411,36171869.92,2024-11-01,Nov 2024,ICE
Harley-Davidson X,2025,7,18,4951000.0,2025-07-01,Jul 2025,ICE
Harley-Davidson X,2026,4,55,14800100.0,2026-04-01,Apr 2026,ICE
Royal Enfield,2026,1,55,10110497.0,2026-01-01,Jan 2026,ICE
Royal Enfield,2026,2,75,13774246.0,2026-02-01,Feb 2026,ICE
Ktm,2026,2,147,38547243.92,2026-02-01,Feb 2026,ICE
Eox,2024,7,34,1925683.39,2024-07-01,Jul 2024,EV
Eox,2024,11,91,4102505.09,2024-11-01,Nov 2024,EV
Eox,2025,7,102,4726551.84,2025-07-01,Jul 2025,EV
Eox,2025,2,39,2021256.63,2025-02-01,Feb 2025,EV
Eox,2025,5,81,3692278.23,2025-05-01,May 2025,EV
Eox,2024,12,15,817597.12,2024-12-01,Dec 2024,EV
Eox,2024,9,24,1316137.18,2024-09-01,Sep 2024,EV
Eox,2025,11,59,3063644.69,2025-11-01,Nov 2025,EV
Eox,2026,4,49,2540607.56,2026-04-01,Apr 2026,EV
Eox,2024,5,6,347350.43,2024-05-01,May 2024,EV
Eox,2025,6,116,5298007.57,2025-06-01,Jun 2025,EV
Eox,2025,10,153,6962246.19,2025-10-01,Oct 2025,EV
Eox,2024,10,134,6022808.92,2024-10-01,Oct 2024,EV
Eox,2025,12,36,1687830.8,2025-12-01,Dec 2025,EV
Eox,2026,2,27,1322180.4,2026-02-01,Feb 2026,EV
Eox,2025,8,63,3301902.98,2025-08-01,Aug 2025,EV
Eox,2024,8,19,1127839.06,2024-08-01,Aug 2024,EV
Eox,2024,6,6,380925.99,2024-06-01,Jun 2024,EV
Ather,2026,1,278,40220993.0,2026-01-01,Jan 2026,EV
Ather,2025,8,147,19837548.28,2025-08-01,Aug 2025,EV
Ather,2025,9,1398,189792476.06,2025-09-01,Sep 2025,EV
Ather,2025,11,412,56958440.48,2025-11-01,Nov 2025,EV
Ather,2026,3,749,112189562.0,2026-03-01,Mar 2026,EV
Ather,2026,4,173,25385670.0,2026-04-01,Apr 2026,EV
Ather,2025,7,104,13784225.0,2025-07-01,Jul 2025,EV
Ather,2025,12,416,57612227.0,2025-12-01,Dec 2025,EV
Ampere,2025,4,124,10150624.0,2025-04-01,Apr 2025,EV
Ampere,2024,7,1,59900.0,2024-07-01,Jul 2024,EV
Ktm,2025,8,280,78891980.66,2025-08-01,Aug 2025,ICE
Ktm,2025,10,258,64924588.2,2025-10-01,Oct 2025,ICE
Ktm,2025,6,35,9726337.0,2025-06-01,Jun 2025,ICE
Ktm,2026,3,180,47409069.0,2026-03-01,Mar 2026,ICE
Ktm,2025,7,153,42612970.66,2025-07-01,Jul 2025,ICE
Ktm,2025,12,93,23914227.08,2025-12-01,Dec 2025,ICE
Ktm,2026,4,78,21251854.0,2026-04-01,Apr 2026,ICE
Ktm,2025,9,449,126993741.3,2025-09-01,Sep 2025,ICE
Ktm,2025,11,81,20290102.08,2025-11-01,Nov 2025,ICE
Ktm,2026,1,147,38419034.4,2026-01-01,Jan 2026,ICE
Ktm,2025,5,8,2454918.0,2025-05-01,May 2025,ICE
Avenger,2025,8,45,5940227.4,2025-08-01,Aug 2025,ICE
Avenger,2025,1,13,1642847.38,2025-01-01,Jan 2025,ICE
Avenger,2026,2,39,4695228.0,2026-02-01,Feb 2026,ICE
Avenger,2024,11,17,2043662.66,2024-11-01,Nov 2024,ICE
Avenger,2024,10,119,14792252.36,2024-10-01,Oct 2024,ICE
Avenger,2025,7,43,5302585.6,2025-07-01,Jul 2025,ICE
Avenger,2025,3,15,1845140.64,2025-03-01,Mar 2025,ICE
Avenger,2025,2,11,1340488.84,2025-02-01,Feb 2025,ICE
Avenger,2025,10,139,16152684.04,2025-10-01,Oct 2025,ICE
Avenger,2026,3,41,5083345.0,2026-03-01,Mar 2026,ICE
Avenger,2026,1,56,6603592.0,2026-01-01,Jan 2026,ICE
Avenger,2026,4,28,3552873.0,2026-04-01,Apr 2026,ICE
Avenger,2024,8,10,1340433.2,2024-08-01,Aug 2024,ICE
Avenger,2024,9,25,3061876.36,2024-09-01,Sep 2024,ICE
Avenger,2025,6,31,3890016.4,2025-06-01,Jun 2025,ICE
Avenger,2025,12,22,2548357.0,2025-12-01,Dec 2025,ICE
Royal Enfield,2026,3,85,16001653.0,2026-03-01,Mar 2026,ICE
Royal Enfield,2026,4,69,12918796.0,2026-04-01,Apr 2026,ICE
Royal Enfield,2025,11,64,12038832.4,2025-11-01,Nov 2025,ICE
Royal Enfield,2025,12,67,12082615.0,2025-12-01,Dec 2025,ICE
Royal Enfield,2025,10,73,13383889.0,2025-10-01,Oct 2025,ICE
Chetak,2024,11,466,45896077.0,2024-11-01,Nov 2024,EV
Chetak,2024,10,2815,292203990.0,2024-10-01,Oct 2024,EV
Chetak,2026,1,910,104709266.0,2026-01-01,Jan 2026,EV
Chetak,2025,12,525,61884792.0,2025-12-01,Dec 2025,EV
Chetak,2025,3,941,100363292.0,2025-03-01,Mar 2025,EV
Chetak,2026,3,1868,195895977.0,2026-03-01,Mar 2026,EV
Chetak,2026,4,888,96091429.0,2026-04-01,Apr 2026,EV
Chetak,2025,1,1325,142128618.0,2025-01-01,Jan 2025,EV
Chetak,2025,9,835,102925485.16,2025-09-01,Sep 2025,EV
Chetak,2024,8,1229,126699497.0,2024-08-01,Aug 2024,EV
Chetak,2024,5,442,53092106.0,2024-05-01,May 2024,EV
Chetak,2024,6,197,22491687.0,2024-06-01,Jun 2024,EV
Chetak,2025,10,1881,222804753.24,2025-10-01,Oct 2025,EV
Chetak,2025,4,487,57432905.0,2025-04-01,Apr 2025,EV
Chetak,2024,7,1378,141360047.0,2024-07-01,Jul 2024,EV
Vida,2024,5,391,51483800.0,2024-05-01,May 2024,EV
Vida,2024,9,37,4766290.0,2024-09-01,Sep 2024,EV
Vida,2025,1,36,4355100.0,2025-01-01,Jan 2025,EV
Vida,2025,2,43,5169000.0,2025-02-01,Feb 2025,EV
Vida,2025,4,41,4810500.0,2025-04-01,Apr 2025,EV
Ampere,2025,1,19,1301689.0,2025-01-01,Jan 2025,EV
Ampere,2026,2,108,9103215.28,2026-02-01,Feb 2026,EV
Ampere,2025,3,93,7508641.0,2025-03-01,Mar 2025,EV
Ampere,2025,9,233,19149688.0,2025-09-01,Sep 2025,EV
Ampere,2025,11,10,1053506.33,2025-11-01,Nov 2025,EV
Ampere,2026,4,346,31577304.05,2026-04-01,Apr 2026,EV
Ampere,2025,8,119,10539294.0,2025-08-01,Aug 2025,EV
Ampere,2025,12,196,16885653.55,2025-12-01,Dec 2025,EV
Ampere,2026,3,570,49958645.45,2026-03-01,Mar 2026,EV
Ampere,2025,6,82,6910148.0,2025-06-01,Jun 2025,EV
Ampere,2024,5,6,359400.0,2024-05-01,May 2024,EV
Ampere,2024,9,2,144800.0,2024-09-01,Sep 2024,EV
Ampere,2026,1,393,33210507.53,2026-01-01,Jan 2026,EV
Ampere,2025,10,807,66965685.0,2025-10-01,Oct 2025,EV
Ampere,2024,10,9,701600.0,2024-10-01,Oct 2024,EV
Ampere,2025,2,21,1616088.0,2025-02-01,Feb 2025,EV
Ampere,2025,5,139,11087396.0,2025-05-01,May 2025,EV
Ampere,2025,7,176,15665753.0,2025-07-01,Jul 2025,EV
Ampere,2024,12,9,614595.0,2024-12-01,Dec 2024,EV
Ampere,2024,11,6,399400.0,2024-11-01,Nov 2024,EV
Ampere,2024,6,6,394400.0,2024-06-01,Jun 2024,EV
Bajaj,2025,3,47,4703003.6,2025-03-01,Mar 2025,ICE
Green,2025,3,200,6165624.04,2025-03-01,Mar 2025,ICE
Green,2025,6,157,4667969.86,2025-06-01,Jun 2025,ICE
Green,2024,8,247,6695310.82,2024-08-01,Aug 2024,ICE
Green,2025,5,403,11177987.19,2025-05-01,May 2025,ICE
Green,2024,10,700,19040223.77,2024-10-01,Oct 2024,ICE
Green,2024,6,19,481410.42,2024-06-01,Jun 2024,ICE
Green,2026,4,45,1523762.99,2026-04-01,Apr 2026,ICE
Bajaj,2026,4,15,1534857.0,2026-04-01,Apr 2026,ICE
Bajaj,2025,11,8,729202.8,2025-11-01,Nov 2025,ICE
Bajaj,2025,12,3,274502.0,2025-12-01,Dec 2025,ICE
Chetak,2025,11,330,39341122.0,2025-11-01,Nov 2025,EV
Chetak,2025,2,435,49388168.0,2025-02-01,Feb 2025,EV
Chetak,2025,6,327,41751510.0,2025-06-01,Jun 2025,EV
Chetak,2025,7,657,71271829.0,2025-07-01,Jul 2025,EV
Chetak,2025,8,33,3430324.0,2025-08-01,Aug 2025,EV
Chetak,2025,5,537,68996006.0,2025-05-01,May 2025,EV
Chetak,2026,2,685,78152316.9,2026-02-01,Feb 2026,EV
Chetak,2024,9,1239,126003238.0,2024-09-01,Sep 2024,EV
Chetak,2024,12,247,23785711.0,2024-12-01,Dec 2024,EV
Vida,2024,10,591,77476914.92,2024-10-01,Oct 2024,EV
Vida,2024,8,163,21673700.0,2024-08-01,Aug 2024,EV
Vida,2025,7,241,28698135.72,2025-07-01,Jul 2025,EV
Vida,2025,5,247,29622496.0,2025-05-01,May 2025,EV
Vida,2025,10,128,15260100.0,2025-10-01,Oct 2025,EV
Vida,2025,11,-3,-321000.0,2025-11-01,Nov 2025,EV
Vida,2025,6,203,24256900.0,2025-06-01,Jun 2025,EV
Vida,2024,6,363,48323600.0,2024-06-01,Jun 2024,EV
Vida,2024,7,119,16008100.0,2024-07-01,Jul 2024,EV
Vida,2024,11,14,1732890.48,2024-11-01,Nov 2024,EV
Vida,2025,9,131,15382400.0,2025-09-01,Sep 2025,EV
Vida,2025,8,85,10262800.0,2025-08-01,Aug 2025,EV
Vida,2025,3,428,48886476.18,2025-03-01,Mar 2025,EV
Vida,2026,4,71,7977310.0,2026-04-01,Apr 2026,EV
Vida,2026,3,33,3746420.0,2026-03-01,Mar 2026,EV
Green,2025,4,178,5439777.63,2025-04-01,Apr 2025,ICE
Bajaj,2025,5,41,4221427.2,2025-05-01,May 2025,ICE
Bajaj,2025,8,94,9746265.8,2025-08-01,Aug 2025,ICE
Green,2025,10,390,9186957.94,2025-10-01,Oct 2025,ICE
Green,2025,11,81,2914703.89,2025-11-01,Nov 2025,ICE
Bajaj,2026,2,15,1495241.24,2026-02-01,Feb 2026,ICE
Bajaj,2026,3,11,1185204.0,2026-03-01,Mar 2026,ICE
Green,2024,7,317,8152745.02,2024-07-01,Jul 2024,ICE
Green,2025,12,103,3232287.16,2025-12-01,Dec 2025,ICE
Green,2024,12,-490,-11320309.63,2024-12-01,Dec 2024,ICE
Bajaj,2025,7,102,10400346.8,2025-07-01,Jul 2025,ICE
Green,2024,9,244,7361293.86,2024-09-01,Sep 2024,ICE
Green,2026,3,25,720787.8,2026-03-01,Mar 2026,ICE
Bajaj,2025,1,81,8199657.3,2025-01-01,Jan 2025,ICE
Bajaj,2025,9,14,1473717.2,2025-09-01,Sep 2025,ICE
Green,2026,2,70,2121269.47,2026-02-01,Feb 2026,ICE
Bajaj,2025,2,50,4896673.96,2025-02-01,Feb 2025,ICE
Bajaj,2025,10,34,3140358.0,2025-10-01,Oct 2025,ICE
Green,2025,2,127,4076068.82,2025-02-01,Feb 2025,ICE
Bajaj,2025,6,89,8966232.8,2025-06-01,Jun 2025,ICE
Bajaj,2024,12,54,5488781.8,2024-12-01,Dec 2024,ICE
Bajaj,2026,1,27,2779811.0,2026-01-01,Jan 2026,ICE
Bajaj,2025,4,26,2450379.56,2025-04-01,Apr 2025,ICE
Bajaj,2024,11,19,1949960.2,2024-11-01,Nov 2024,ICE
Green,2025,7,388,10507994.31,2025-07-01,Jul 2025,ICE
Green,2025,8,281,7279740.69,2025-08-01,Aug 2025,ICE
Green,2024,11,752,17208129.07,2024-11-01,Nov 2024,ICE
Green,2025,9,275,6862518.03,2025-09-01,Sep 2025,ICE
Green,2025,1,667,15541064.01,2025-01-01,Jan 2025,ICE
Green,2024,5,111,2928333.38,2024-05-01,May 2024,ICE
Green,2026,1,81,2486871.71,2026-01-01,Jan 2026,ICE
Bajaj,2024,10,1,109997.0,2024-10-01,Oct 2024,ICE
Amo,2025,7,11,875635.26,2025-07-01,Jul 2025,EV
Amo,2025,3,19,1354304.77,2025-03-01,Mar 2025,EV
Amo,2025,1,6,339264.76,2025-01-01,Jan 2025,EV
Amo,2026,4,7,268548.66,2026-04-01,Apr 2026,EV
Amo,2024,9,18,1129784.68,2024-09-01,Sep 2024,EV
Amo,2024,8,19,1103625.75,2024-08-01,Aug 2024,EV
Bajaj Ct,2025,5,3,215142.4,2025-05-01,May 2025,ICE
Bajaj Ct,2024,7,4,281536.0,2024-07-01,Jul 2024,ICE
Pulsar,2025,10,2626,272774852.96,2025-10-01,Oct 2025,ICE
Pulsar,2025,9,2139,216244739.88,2025-09-01,Sep 2025,ICE
Pulsar,2025,8,536,62842008.55,2025-08-01,Aug 2025,ICE
Pulsar,2025,5,237,27041977.8,2025-05-01,May 2025,ICE
Pulsar,2025,1,176,20354208.81,2025-01-01,Jan 2025,ICE
Ola,2025,7,47,5999654.0,2025-07-01,Jul 2025,EV
Ola,2025,4,-2,-234998.0,2025-04-01,Apr 2025,EV
Pulsar,2025,12,199,22178971.34,2025-12-01,Dec 2025,ICE
Pulsar,2024,7,26,2598652.8,2024-07-01,Jul 2024,ICE
Ola,2025,9,-8,-939492.0,2025-09-01,Sep 2025,EV
Ola,2025,6,3,356997.0,2025-06-01,Jun 2025,EV
Amo,2025,2,7,523560.01,2025-02-01,Feb 2025,EV
Amo,2024,10,73,2685962.57,2024-10-01,Oct 2024,EV
Bajaj Ct,2024,9,19,1328856.2,2024-09-01,Sep 2024,ICE
Bajaj Ct,2025,2,4,281152.0,2025-02-01,Feb 2025,ICE
Bajaj Ct,2025,11,13,875301.8,2025-11-01,Nov 2025,ICE
Bajaj Ct,2025,3,11,775080.4,2025-03-01,Mar 2025,ICE
Bajaj Ct,2025,7,17,1231648.4,2025-07-01,Jul 2025,ICE
Bajaj Ct,2026,1,22,1473455.6,2026-01-01,Jan 2026,ICE
Bajaj Ct,2025,12,22,1482693.2,2025-12-01,Dec 2025,ICE
Amo,2025,8,10,747447.62,2025-08-01,Aug 2025,EV
Amo,2025,9,84,3471172.22,2025-09-01,Sep 2025,EV
Amo,2025,5,14,1013467.62,2025-05-01,May 2025,EV
Amo,2024,11,2,106701.89,2024-11-01,Nov 2024,EV
Bajaj Ct,2025,6,12,867488.0,2025-06-01,Jun 2025,ICE
Bajaj Ct,2024,10,55,3876451.0,2024-10-01,Oct 2024,ICE
Bajaj Ct,2025,10,87,5871292.0,2025-10-01,Oct 2025,ICE
Amo,2025,10,192,8234051.74,2025-10-01,Oct 2025,EV
Bajaj Ct,2024,11,4,280889.6,2024-11-01,Nov 2024,ICE
Amo,2024,12,0,24144.76,2024-12-01,Dec 2024,EV
Amo,2025,4,14,1006155.25,2025-04-01,Apr 2025,EV
Bajaj Ct,2025,8,12,871495.8,2025-08-01,Aug 2025,ICE
Bajaj Ct,2024,8,10,704921.6,2024-08-01,Aug 2024,ICE
Amo,2026,1,24,961467.7,2026-01-01,Jan 2026,EV
Amo,2025,11,16,864042.03,2025-11-01,Nov 2025,EV
Amo,2026,3,44,1987943.54,2026-03-01,Mar 2026,EV
Amo,2025,12,13,606147.16,2025-12-01,Dec 2025,EV
Amo,2026,2,18,742366.02,2026-02-01,Feb 2026,EV
Bajaj Ct,2025,9,81,5448533.52,2025-09-01,Sep 2025,ICE
Bajaj Ct,2025,4,10,704896.0,2025-04-01,Apr 2025,ICE
Bajaj Ct,2026,4,2,141388.0,2026-04-01,Apr 2026,ICE
Bajaj Ct,2026,2,13,884519.0,2026-02-01,Feb 2026,ICE
Bajaj Ct,2026,3,16,1097225.0,2026-03-01,Mar 2026,ICE
Bajaj Ct,2025,1,7,490131.2,2025-01-01,Jan 2025,ICE
Bajaj Ct,2024,12,1,70419.2,2024-12-01,Dec 2024,ICE
Amo,2025,6,9,668178.09,2025-06-01,Jun 2025,EV
Pulsar,2026,1,508,53895313.25,2026-01-01,Jan 2026,ICE
Pulsar,2026,2,250,29604114.73,2026-02-01,Feb 2026,ICE
Pulsar,2025,3,146,16422963.0,2025-03-01,Mar 2025,ICE
Pulsar,2025,4,116,12352163.56,2025-04-01,Apr 2025,ICE
Pulsar,2024,8,95,10036876.6,2024-08-01,Aug 2024,ICE
Pulsar,2025,2,108,11549930.35,2025-02-01,Feb 2025,ICE
Ola,2024,9,74,9011926.0,2024-09-01,Sep 2024,EV
Pulsar,2024,10,1553,172350886.9,2024-10-01,Oct 2024,ICE
Pulsar,2025,11,147,16708166.73,2025-11-01,Nov 2025,ICE
Pulsar,2026,4,295,34134636.2,2026-04-01,Apr 2026,ICE
Pulsar,2024,9,293,32368997.4,2024-09-01,Sep 2024,ICE
Pulsar,2025,6,387,43279136.6,2025-06-01,Jun 2025,ICE
Ola,2025,3,-3,-479997.0,2025-03-01,Mar 2025,EV
Ola,2024,11,147,18006353.0,2024-11-01,Nov 2024,EV
Ola,2025,1,31,3899969.0,2025-01-01,Jan 2025,EV
Ola,2025,5,-2,-214998.0,2025-05-01,May 2025,EV
Pulsar,2026,3,369,42884673.42,2026-03-01,Mar 2026,ICE
Pulsar,2025,7,530,62070421.5,2025-07-01,Jul 2025,ICE
Ola,2025,8,13,1533188.0,2025-08-01,Aug 2025,EV
Ola,2024,10,775,94502225.0,2024-10-01,Oct 2024,EV
Pulsar,2024,11,156,18681431.71,2024-11-01,Nov 2024,ICE
Pulsar,2024,12,95,11931358.95,2024-12-01,Dec 2024,ICE
Ola,2025,2,3,262497.0,2025-02-01,Feb 2025,EV
Ola,2024,12,6,731994.0,2024-12-01,Dec 2024,EV
Ola,2025,10,-2,-376400.0,2025-10-01,Oct 2025,EV
